x y z
6941230.900232 0.398989 -905016.217080
6868221.493840 0.062098 -1351795.441997
6766489.697093 13.456876 -1792901.391582
6636472.341549 -3.103738 -2226474.401887
6478717.283160 2.263801 -2650800.043864
6293786.991173 6.478629 -3064005.749598
6082593.247212 -3.652738 -3464416.151835
5845963.480083 4.414256 -3850326.711160
5584868.665320 -17.439928 -4220105.354262
5300422.627235 6.627153 -4572253.710167
4993793.698997 -1.353955 -4905297.212706
4666316.802711 1.131852 -5217797.750172
4319296.875390 0.157195 -5508526.459364
3954213.157616 3.097391 -5776169.894432
3572617.173205 -1.506216 -6019682.198705
3176052.944718 1.501366 -6238036.185981
2766231.281889 -4.270058 -6430244.327738
2344834.012620 -2.582761 -6595610.859481
1913619.448220 0.467783 -6733344.295379
1474368.186241 -0.818847 -6842945.519450
1029009.582468 1.060901 -6923970.566724
579320.989567 0.732421 -6975968.468744
127215.002544 0.194909 -6998829.271061
-325426.994985 0.372578 -6992438.125414
-776702.593111 -0.336212 -6956756.965848
-1224734.952009 0.928402 -6892038.110850
-1667646.769496 2.781167 -6798486.347775
-2103560.554551 0.491532 -6676426.647902
-2530738.253576 3.436290 -6526528.791994
-2947277.132081 -2.962262 -6349306.999381
-3351485.960139 1.257593 -6145537.959011
-3741695.977056 -1.142696 -5916038.727860
-4116263.762368 6.834374 -5661830.797325
-4473601.700592 -0.033296 -5383928.449961
-4812223.612549 3.212057 -5083499.582780
-5130768.728949 -5.488225 -4761839.221148
-5427803.838604 12.638299 -4420289.841692
-5702195.886370 -0.958489 -4060247.177847
-5952703.637781 2.185074 -3683139.346533
-6178320.139818 5.372920 -3290686.790334
-6378078.990702 -6.158672 -2884485.276214
-6551181.385599 7.653863 -2466188.706370
-6696884.557681 2.160378 -2037602.286906
-6814581.569143 18.135011 -1600473.992057
-6903755.658847 -8.035564 -1156651.278512
-6964097.923409 -19.958363 -708020.815009
-6995292.151141 -4.008172 -256418.540324
-6997238.836630 -8.360505 196265.287127
-6969934.968853 -0.197940 648111.597314
-6913492.210206 3.618693 1097258.575064
-6828074.233603 13.183725 1541811.689751
-6714138.124290 -4.816412 1979937.320151
-6572132.167496 0.695670 2409768.507587
-6402670.128457 0.907027 2829520.830875
-6206349.506216 3.556616 3237461.756006
-5984129.928001 14.419078 3631821.583150
-5736860.014689 -8.237057 4011012.855212
-5465639.325622 -5.733039 4373427.069414
-5171536.943594 10.341834 4717550.521048
-4855841.167315 0.877094 5041937.696951
-4519728.638100 2.849971 5345270.264070
-4164833.968434 0.703192 5626222.258648
-3792429.755282 -4.726320 5883661.860691
-3404218.945560 4.661016 6116476.163696
-3001743.071662 2.007863 6323719.966553
-2586712.501611 -0.683252 6504513.508322
-2160897.819922 2.425776 6658108.825216
-1726076.635626 1.940589 6783869.063443
-1283976.086302 3.355121 6881243.599761
-836464.459993 0.623561 6949809.111748
-385558.266923 0.188624 6989383.449222
67014.470930 0.046277 6999689.747325
519329.121316 0.100244 6980746.768410
969416.818682 0.621513 6932550.242080
1415527.508335 1.100198 6855410.428419
1855620.303267 -1.561479 6749570.836848
2288012.594497 2.546001 6615518.522649
2710797.483886 0.736335 6453802.541406
3122297.168130 0.049118 6265088.982934
3520715.466572 -3.611318 6050175.492315
3904364.323675 7.998736 5809975.284758
4271813.285974 -0.933389 5545445.636457
4621245.257100 2.006559 5257760.853282
4951453.623771 -5.942905 4948053.763152
5260914.364270 0.047137 4617675.984370
5548338.301188 12.003834 4267990.028879
5812588.742701 -2.138319 3900462.278735
6052593.381449 6.932057 3516570.960446
6267207.739015 -4.202027 3118012.502836
6455649.811819 -4.963136 2706407.653228
6617073.672086 2.875366 2283501.068396
6750839.534468 -1.687370 1851025.404751
6856373.295457 -7.087685 1410805.800434
6933176.089461 -0.617319 964716.206249
6981076.200711 3.796501 514526.569262
6999737.133163 -0.728483 62246.443983
6989119.279850 2.151492 -390317.121866
6949268.731110 -10.796142 -841224.932709
6880369.888060 10.083533 -1288661.010928
6782656.115462 -3.992376 -1730670.901104
6656659.416200 -6.499733 -2165466.075521
6502751.941983 -6.164484 -2591184.611295
6321663.124973 -7.306155 -3006090.898291
6114169.057871 -6.176884 -3408393.828231
5881064.069096 4.445116 -3796429.913245
5623394.965678 -3.006628 -4168656.639052
5342191.265659 -2.261810 -4523382.880371
5038654.111860 -1.329332 -4859209.444596
4714026.338130 -0.498702 -5174732.150811
4369704.720300 -2.042188 -5468624.424021
4007092.512913 1.800711 -5739607.966217
3627756.906068 -0.700909 -5986643.356223
3233209.783295 3.097761 -6208580.772615
2825166.911822 4.477083 -6404555.105175
2405283.019691 0.584626 -6573790.677258
1975353.601278 1.452563 -6715491.902186
1537172.362074 -1.779135 -6829173.209977
1092551.780676 0.692061 -6914219.883978
643367.453439 0.859100 -6970318.174486
191471.118150 0.161271 -6997403.185031
-261179.841475 -0.193626 -6995119.284448
-712779.968953 -0.143947 -6963598.498676
-1161378.512983 -0.953134 -6902964.024382
-1605142.798301 -3.243090 -6813439.186068
-2042171.817124 0.078435 -6695527.010715
-2470650.267675 2.064571 -6549475.827383
-2888822.369133 -1.466388 -6376103.451020
-3294909.501695 2.223332 -6176100.228541
-3687223.070923 -3.671390 -5950208.726848
-4064083.036937 -4.253657 -5699381.965417
-4423978.840827 -1.107038 -5424807.975689
-4765376.454927 2.179035 -5127541.269934
-5086802.819923 1.212733 -4808780.163479
-5386992.010278 7.776880 -4469983.286483
-5664632.353226 -1.408373 -4112423.668009
-5918584.107662 -9.917566 -3737688.619811
-6147817.096410 2.014142 -3347289.040676
-6351309.848108 -7.967294 -2942969.621270
-6528267.469777 -2.645697 -2526273.312504
-6677899.699990 16.257130 -2099035.894981
-6799601.104474 8.230464 -1663014.750827
-6892856.057835 11.212442 -1220017.776060
-6957338.458523 -2.565265 -771965.406003
-6992665.789572 -1.739870 -320679.543523
-6998751.362012 14.220183 131979.473469
-6975579.164117 5.007466 584087.711924
-6923247.790343 -5.109251 1033714.255927
-6841973.600602 -6.770131 1479027.030404
-6732061.245211 14.438809 1918197.908056
-6594006.232647 -7.382523 2349293.762146
-6428391.359124 5.210853 2770562.529676
-6235837.643953 -3.082157 3180297.524279
-6017230.638782 -1.687870 3576718.932796
-5773487.144739 3.084723 3958152.884120
-5505567.854296 -5.455744 4323050.572405
-5214630.140439 0.137519 4669863.329543
-4901912.703363 -4.233722 4997140.679923
-4568688.391235 -8.188490 5303520.576532
-4216299.304291 0.565835 5587739.275892
-3846317.989334 -5.102003 5848571.805148
-3460230.833745 -5.446127 6084954.071827
-3059680.808487 1.957862 6295882.838156
-2646399.224640 -0.245392 6480487.924576
-2221985.227136 0.086740 6637980.874929
-1788294.611588 -0.366188 6767720.950754
-1347087.055251 1.007328 6869147.603360
-900326.116431 -1.108229 6941877.611244
-449721.013161 0.111333 6985526.846580
2723.332274 -0.002380 6999995.097669
455168.435753 0.356508 6985191.587351
905693.638423 -1.487350 6941156.205371
1352506.202370 0.735223 6868124.873120
1793551.519167 -0.956017 6766326.961060
2227124.624124 -1.225760 6636250.817147
2651382.232191 6.600716 6478419.338452
3064614.268229 -3.387515 6293499.681678
3464980.664516 -0.446244 6082267.049226
